k,points,radius,akurasi
0.005,52.0,12.0,0.0
0.01,52.0,12.0,32.5
0.015,52.0,12.0,67.5
0.02,52.0,12.0,35.0
0.005,52.0,13.0,0.0
0.01,52.0,13.0,30.0
0.015,52.0,13.0,65.0
0.02,52.0,13.0,55.0
0.005,52.0,14.0,0.0
0.01,52.0,14.0,22.5
0.015,52.0,14.0,62.5
0.02,52.0,14.0,60.0
0.005,52.0,15.0,0.0
0.01,52.0,15.0,20.0
0.015,52.0,15.0,67.5
0.02,52.0,15.0,57.5
0.005,52.0,16.0,0.0
0.01,52.0,16.0,25.0
0.015,52.0,16.0,62.5
0.02,52.0,16.0,72.5
0.005,52.0,17.0,2.5
0.01,52.0,17.0,22.5
0.015,52.0,17.0,62.5
0.02,52.0,17.0,72.5
0.005,52.0,18.0,0.0
0.01,52.0,18.0,20.0
0.015,52.0,18.0,52.5
0.02,52.0,18.0,62.5
0.005,52.0,19.0,0.0
0.01,52.0,19.0,15.0
0.015,52.0,19.0,52.5
0.02,52.0,19.0,60.0
0.005,52.0,20.0,0.0
0.01,52.0,20.0,20.0
0.015,52.0,20.0,57.5
0.02,52.0,20.0,60.0
0.005,56.0,4.0,0.0
0.01,56.0,4.0,32.5
0.015,56.0,4.0,30.0
0.02,56.0,4.0,17.5
0.005,56.0,5.0,0.0
0.01,56.0,5.0,32.5
0.015,56.0,5.0,20.0
0.02,56.0,5.0,5.0
0.005,56.0,6.0,0.0
0.01,56.0,6.0,27.5
0.015,56.0,6.0,42.5
0.02,56.0,6.0,17.5
0.005,56.0,7.0,0.0
0.01,56.0,7.0,37.5
0.015,56.0,7.0,45.0
0.02,56.0,7.0,25.0
0.005,56.0,8.0,0.0
0.01,56.0,8.0,27.5
0.015,56.0,8.0,50.0
0.02,56.0,8.0,20.0
0.005,56.0,9.0,0.0
0.01,56.0,9.0,27.5
0.015,56.0,9.0,50.0
0.02,56.0,9.0,25.0
0.005,56.0,10.0,0.0
0.01,56.0,10.0,27.5
0.015,56.0,10.0,55.0
0.02,56.0,10.0,35.0
0.005,56.0,11.0,0.0
0.01,56.0,11.0,22.5
